Ticker,Stock,Price,Dividend,High,Low,Ex-date,Pay-Date
T,AT&T Inc.,$34.69,$2.08,$39.70,$30.05,,
PBA,Pembina Pipeline Corp.,$25.73,$1.90,$40.65,$18.81,,
EAT,"Brinker International, Inc.",$24.74,$1.52,$47.57,$22.91,,
PFE,"Pfizer, Inc.",$33.76,$1.52,$44.56,$32.53,,
KTB,"Kontoor Brands, Inc.",$30.11,$2.24,$43.24,$25.78,,
PEAK,"Healthpeak Properties, Inc.",$31.24,$1.48,$37.93,$28.86,,
UBER,"Uber Technologies, Inc.",$28.17,0,$47.08,$25.58,,
WRK,Westrock Company,$26.61,$1.86,$44.39,$26.32,,
BP,BP p.l.c.,$25.28,$2.52,$45.38,$24.20,,
IRM,Iron Mountain Incorporated (Del,$29.55,$2.47,$36.65,$28.73,,
PPL,PPL Corporation,$29.11,$1.66,$36.83,$28.51,,
GM,General Motors Company,$24.69,$1.52,$41.90,$24.15,,
KR,Kroger Company (The),$31.25,$0.64,$33.70,$20.70,,
STAG,"Stag Industrial, Inc.",$25.62,$1.44,$33.48,$24.67,,
BAC,Bank of America Corporation,$21.93,$0.72,$35.72,$21.51,,
BAC,Bank of America Corporation,$21.93,$0.72,$35.72,$21.51,,
OZK,Bank OZK,$21.23,$1.04,$34.34,$21.20,,
EPD,Enterprise Products Partners L.,$18.25,$1.78,$30.87,$13.88,,
CNP,"CenterPoint Energy, Inc (Holdin",$18.03,$1.16,$31.17,$17.16,,
FLO,"Flowers Foods, Inc.",$22.42,$0.76,$24.50,$20.04,,
LB,"L Brands, Inc.",$20.60,$1.20,$29.02,$15.80,,
KMI,"Kinder Morgan, Inc.",$16.10,$1.00,$22.58,$14.95,,
KMI,"Kinder Morgan, Inc.",$16.10,$1.00,$22.58,$14.95,,
MPLX,MPLX LP,$15.07,$2.75,$34.59,$12.52,,
SPH,"Suburban Propane Partners, L.P.",$15.50,$2.40,$24.89,$14.09,,
PEB,Pebblebrook Hotel Trust,$15.13,$1.52,$33.59,$14.67,,
KIM,Kimco Realty Corporation,$15.57,$1.12,$21.86,$15.32,,
KIM,Kimco Realty Corporation,$15.57,$1.12,$21.86,$15.32,,
SJR,Shaw Communications Inc.,$15.91,$0.91,$21.08,$15.73,,
NLSN,Nielsen N.V.,$14.28,$0.24,$27.57,$14.27,,
TAK,Takeda Pharmaceutical Company L,$17.51,$0.83,$21.61,$16.10,,
IVR,INVESCO MORTGAGE CAPITAL INC,$15.10,$2.00,$18.30,$14.81,,
KEY,KeyCorp,$12.16,$0.74,$20.53,$12.07,,
NRZ,New Residential Investment Corp,$14.07,$2.00,$17.66,$13.63,,
GEO,Geo Group Inc (The) REIT,$15.89,$1.92,$24.03,$13.28,,
PCG,Pacific Gas & Electric Co.,$12.62,0,$25.19,$3.55,,
TWO,Two Harbors Investment Corp,$12.34,$1.60,$15.85,$11.97,,
GPS,"Gap, Inc. (The)",$11.77,$0.97,$27.00,$11.54,,
CLDT,Chatham Lodging Trust (REIT),$11.34,$1.32,$20.66,$11.09,,
CTL,"CenturyLink, Inc.",$10.26,$1.00,$15.30,$9.64,,
HBI,Hanesbrands Inc.,$11.26,$0.60,$19.10,$10.81,,
SKT,"Tanger Factory Outlet Centers, ",$10.24,$1.43,$21.28,$10.04,,
CNXM,CNX Midstream Partners LP,$8.34,$1.66,$16.94,$7.52,,
GE,General Electric Company,$8.21,$0.04,$13.26,$7.65,,
LC,LendingClub Corporation,$9.72,0,$18.85,$9.26,,
NLY,Annaly Capital Management Inc,$8.38,$1.00,$10.50,$8.07,,
S,Sprint Corporation,$8.06,0,$10.16,$4.26,,
MFA,"MFA Financial, Inc.",$7.10,$0.80,$8.09,$6.93,,
SOUHY,SOUTH32 LTD,$5.60,$0.11,$13.90,$5.47,,
F,Ford Motor Company,$5.90,$0.60,$10.56,$5.80,,
ZNGA,Zynga Inc.,$6.53,0,$7.42,$5.16,,
AROC,"Archrock, Inc.",$4.45,$0.58,$11.43,$3.80,,
SIRI,Sirius XM Holdings Inc.,$6.04,$0.05,$7.40,$5.23,,
FIT,"Fitbit, Inc.",$6.20,0,$7.26,$2.81,,
GLOG,GasLog Ltd.,$3.49,$0.60,$18.09,$3.46,,
CENX,Century Aluminum Company,$4.08,0,$9.91,$4.00,,
QTT,Qutoutiao Inc.,$4.51,0,$18.00,$2.56,,
HOME,At Home Group Inc.,$3.17,0,$24.81,$2.87,,
RBS,Royal Bank of Scotland Group Pl,$3.59,$0.16,$7.31,$3.58,,
QUAD,"Quad Graphics, Inc",$3.40,$0.60,$12.88,$3.30,,
AM,Antero Midstream Corporation,$3.29,$1.23,$14.50,$2.91,,
TWMC,Trans World Entertainment Corp.,$3.96,0,$13.40,$1.68,,
BIOS,"Option Care Health, Inc.",$13.34,0,$18.21,$4.14,,
OPGN,"OpGen, Inc.",$2.68,0,$25.80,$0.92,,
NOK,Nokia Corporation Sponsored,$3.31,$0.22,$6.42,$3.21,,
ANH,Anworth Mortgage Asset Corporat,$2.90,$0.36,$4.32,$2.81,,
TLRD,"Tailored Brands, Inc.",$3.03,$0.72,$12.18,$2.82,,
ASNA,"Ascena Retail Group, Inc.",$2.87,0,$41.80,$1.97,,
YUMA,"Yuma Energy, Inc.",$1.90,0,$8.61,$1.23,,
WPG,Washington Prime Group Inc.,$1.98,$0.88,$5.72,$1.93,,
NYMX,Nymox Pharmaceutical Corporatio,$2.53,0,$4.09,$1.32,,
IMMP,Immutep Limited,$2.16,0,$3.23,$1.27,,
AKS,AK Steel Holding Corporation,$1.86,0,$3.59,$1.66,,
INPX,Inpixon,$1.84,0,$80.10,$1.67,,
GLOW,"Glowpoint, Inc.",$2.01,0,$2.74,$0.60,,
PRTY,Party City Holdco Inc.,$1.28,0,$9.05,$1.27,,
VEON,VEON Ltd.,$1.57,$0.30,$3.28,$1.52,,
SOLO,Electrameccanica Vehicles Corp.,$1.54,0,$5.15,$1.50,,
